NaN in TransformMoveDelay: 23.03.2018 22:55:58, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:20, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:20, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:47, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:47, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:48, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:56:49, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:07, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:07, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:09, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:09, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:10, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:11, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:12, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
NaN in TransformMoveDelay: 23.03.2018 22:57:13, Server.Mobiles.MeleeAI, Server.Sphere.UOErebor.c_zombie, 0
